Year,Country,Champion,Course,Location,Total score
1977,United States,Tom Watson,Turnberry,"South Ayrshire, Scotland",268
1978,United States,Jack Nicklaus,St Andrews,"St Andrews, Scotland",281
1979,Spain,Seve Ballesteros,Royal Lytham & St Annes,"Lytham St Annes, England",283
1980,United States,Tom Watson,Muirfield,"Gullane, Scotland",271
1981,United States,Bill Rogers,Royal St George's,"Sandwich, England",276
1982,United States,Tom Watson,Royal Troon,"Troon, Scotland",284
1983,United States,Tom Watson,Royal Birkdale,"Southport, England",275
1984,Spain,Seve Ballesteros,St Andrews,"St Andrews, Scotland",276
1985,Scotland,Sandy Lyle,Royal St George's,"Sandwich, England",282
1986,Australia,Greg Norman,Turnberry,"South Ayrshire, Scotland",280
1987,England,Nick Faldo,Muirfield,"Gullane, Scotland",279
1988,Spain,Seve Ballesteros,Royal Lytham & St Annes,"Lytham St Annes, England",273
1989,United States,Mark Calcavecchia,Royal Troon,"Troon, Scotland",275
1990,England,Nick Faldo,St Andrews,"St Andrews, Scotland",270
1991,Australia,Ian Baker-Finch,Royal Birkdale,"Southport, England",272
1992,England,Nick Faldo,Muirfield,"Gullane, Scotland",272
1993,Australia,Greg Norman,Royal St George's,"Sandwich, England",267
1994,Zimbabwe,Nick Price,Turnberry,"South Ayrshire, Scotland",268
1995,United States,John Daly,St Andrews,"St Andrews, Scotland",282
1996,United States,Tom Lehman,Royal Lytham & St Annes,"Lytham St Annes, England",271
1997,United States,Justin Leonard,Royal Troon,"Troon, Scotland",272
1998,United States,Mark O'Meara,Royal Birkdale,"Southport, England",280
1999,Scotland,Paul Lawrie,Carnoustie,"Carnoustie, Scotland",290
2000,United States,Tiger Woods,St Andrews,"St Andrews, Scotland",269
2001,United States,David Duval,Royal Lytham & St Annes,"Lytham St Annes, England",274
2002,South Africa,Ernie Els,Muirfield,"Gullane, Scotland",278
2003,United States,Ben Curtis,Royal St George's,"Sandwich, England",283
2004,United States,Todd Hamilton,Royal Troon,"Troon, Scotland",274
2005,United States,Tiger Woods,St Andrews,"St Andrews, Scotland",274
2006,United States,Tiger Woods,Royal Liverpool,"Hoylake, England",270
2007,Ireland,Pádraig Harrington,Carnoustie,"Carnoustie, Scotland",277
2008,Ireland,Pádraig Harrington,Royal Birkdale,"Southport, England",283
2009,United States,Stewart Cink,Turnberry,"South Ayrshire, Scotland",278
2010,South Africa,Louis Oosthuizen,St Andrews,"St Andrews, Scotland",272
2011,Northern Ireland,Darren Clarke,Royal St George's,"Sandwich, England",275
2012,South Africa,Ernie Els,Royal Lytham & St Annes,"Lytham St Annes, England",273
2013,United States,Phil Mickelson,Muirfield,"Gullane, Scotland",281
2014,Northern Ireland,Rory McIlroy,Royal Liverpool,"Hoylake, England",271
2015,United States,Zach Johnson,St Andrews,"St Andrews, Scotland",273
2016,Sweden,Henrik Stenson,Royal Troon,"Troon, Scotland",264
2017,United States,Jordan Spieth,Royal Birkdale,"Southport, England",268
2018,Italy,Francesco Molinari,Carnoustie,"Carnoustie, Scotland",276
2019,Ireland,Shane Lowry,Royal Portrush,"County Antrim, Northern Ireland",269
2021,United States,Collin Morikawa,Royal St George's,"Sandwich, England",265
2022,Australia,Cameron Smith,St Andrews,"St Andrews, Scotland",268
2023,United States,Brian Harman,Royal Liverpool,"Hoylake, England",271
