RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,28237,Rory McIlroy,13.22,621.31,-364.27,596.99
2,0,23983,Luke Donald,8.62,439.74,-447.49,345.77
3,0,08793,Tiger Woods,8.53,341.31,-172.24,369.87
4,0,22405,Justin Rose,6.42,333.73,-210.39,337.66
5,0,24502,Adam Scott,6.21,260.71,-212.63,215.02
6,0,26329,Louis Oosthuizen,6.14,319.27,-179.83,334.85
7,0,20396,Lee Westwood,6.03,313.71,-320.61,271.50
8,0,25804,Bubba Watson,5.29,259.43,-213.58,288.71
9,0,25686,Jason Dufner,5.29,269.85,-158.75,267.95
10,0,27649,Brandt Snedeker,5.23,271.71,-162.96,267.89
11,0,29221,Webb Simpson,5.13,256.37,-217.61,202.01
12,1,24138,Ian Poulter,5.00,254.89,-171.42,232.12
13,-1,33141,Keegan Bradley,5.00,259.85,-157.10,241.47
14,0,26331,Charl Schwartzel,4.90,254.70,-222.23,205.41
15,0,25572,Graeme McDowell,4.81,250.10,-245.16,252.31
16,0,21209,Sergio Garcia,4.73,231.99,-148.07,194.26
17,0,01810,Phil Mickelson,4.69,229.87,-213.24,232.79
18,0,06527,Steve Stricker,4.65,190.60,-204.57,176.69
19,0,22792,Peter Hanson,4.59,238.89,-148.72,234.55
20,0,27095,Nick Watney,4.54,235.98,-203.14,200.84
