RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,30925,Dustin Johnson,10.28,462.72,-147.61,319.54
2,0,46970,Jon Rahm,9.97,518.59,-144.79,266.92
3,0,33448,Justin Thomas,8.63,431.30,-145.19,243.82
4,0,28237,Rory McIlroy,7.90,387.00,-179.42,98.90
5,0,50525,Collin Morikawa,7.72,308.78,-24.12,255.30
6,0,29221,Webb Simpson,7.04,323.99,-106.34,196.46
7,4,48081,Xander Schauffele,6.40,332.93,-126.95,170.24
8,-1,36689,Brooks Koepka,6.10,292.98,-193.70,59.07
9,-1,47959,Bryson DeChambeau,5.99,311.28,-136.01,202.47
10,-1,34360,Patrick Reed,5.86,304.84,-111.86,170.08
11,-1,24502,Adam Scott,5.32,212.89,-84.38,83.49
12,0,35450,Patrick Cantlay,5.24,225.33,-109.00,57.98
13,0,40026,Daniel Berger,5.01,225.23,-24.98,203.14
14,1,34363,Tyrrell Hatton,4.85,232.89,-63.29,138.42
15,-1,29725,Tony Finau,4.65,242.05,-113.59,122.95
16,0,30911,Tommy Fleetwood,4.53,235.42,-119.17,59.86
17,0,40098,Matt Fitzpatrick,4.30,223.74,-75.44,105.94
18,1,22405,Justin Rose,4.21,206.35,-144.49,63.10
19,1,32839,Hideki Matsuyama,4.21,218.97,-79.25,84.76
20,-2,08793,Tiger Woods,4.17,166.88,-111.87,15.63
