RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.72,660.24,-697.41,684.00
2,0,01810,Phil Mickelson,7.72,378.17,-427.93,375.52
3,0,06522,Ernie Els,6.84,369.48,-364.73,377.78
4,0,21209,Sergio Garcia,6.19,321.97,-274.60,303.35
5,0,20157,Retief Goosen,6.16,369.72,-278.50,356.12
6,0,02206,David Toms,6.02,331.13,-279.53,278.33
7,0,20766,Padraig Harrington,5.63,276.09,-199.16,233.74
8,0,06567,Vijay Singh,5.53,326.38,-318.76,309.20
9,0,01706,Davis Love III,4.82,221.72,-225.11,175.72
10,0,08635,Colin Montgomerie,4.39,228.24,-192.84,201.57
11,0,10809,Jim Furyk,4.18,204.91,-194.64,189.60
12,0,06251,Chris DiMarco,4.18,242.45,-212.43,212.99
13,0,01968,Nick Price,4.14,169.82,-161.20,182.61
14,0,20848,Ángel Cabrera,3.70,166.53,-144.42,164.54
15,0,09011,David Duval,3.68,169.29,-231.90,74.06
16,0,01666,Bernhard Langer,3.58,179.05,-173.15,112.87
17,0,10860,Justin Leonard,3.51,199.96,-163.96,209.09
18,0,20400,Michael Campbell,3.48,180.85,-187.38,198.50
19,0,02020,Eduardo Romero,3.47,138.64,-75.22,151.82
20,0,21961,Charles Howell III,3.46,211.05,-86.86,198.63
