RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,17.39,765.34,-471.09,772.44
2,0,06567,Vijay Singh,10.06,633.93,-648.21,514.53
3,0,01810,Phil Mickelson,8.40,377.99,-328.04,369.93
4,0,20157,Retief Goosen,8.02,416.84,-333.51,354.20
5,0,06522,Ernie Els,7.88,362.56,-474.45,255.03
6,0,21209,Sergio Garcia,7.38,339.37,-216.26,296.40
7,0,10809,Jim Furyk,5.91,242.43,-170.55,272.13
8,0,24502,Adam Scott,5.07,253.30,-217.09,245.42
9,0,08635,Colin Montgomerie,4.86,271.89,-100.16,282.90
10,0,06251,Chris DiMarco,4.69,239.38,-193.70,224.69
11,0,01945,Kenny Perry,4.68,215.21,-190.94,233.30
12,0,20848,Ángel Cabrera,4.53,190.10,-114.55,180.13
13,0,20608,David Howell,4.52,234.92,-119.69,217.40
14,0,23983,Luke Donald,4.52,239.33,-158.22,226.91
15,0,20400,Michael Campbell,4.51,239.24,-89.47,249.88
16,0,02206,David Toms,4.34,212.87,-194.80,235.82
17,0,20766,Padraig Harrington,4.33,220.83,-226.76,170.32
18,0,19825,Darren Clarke,4.09,204.57,-212.83,177.19
19,0,01706,Davis Love III,3.98,190.94,-239.95,177.87
20,0,23135,Tim Clark,3.80,216.35,-119.84,237.04
