RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.20,607.85,-475.40,604.54
2,0,01810,Phil Mickelson,8.54,375.85,-335.82,367.29
3,0,06527,Steve Stricker,6.89,310.02,-197.67,333.56
4,0,20396,Lee Westwood,6.76,351.73,-203.36,299.54
5,0,20766,Padraig Harrington,5.75,304.76,-264.69,215.02
6,0,10809,Jim Furyk,5.70,285.03,-190.74,265.05
7,0,25364,Paul Casey,5.55,244.05,-161.89,282.86
8,0,21528,Henrik Stenson,5.54,260.48,-216.84,234.25
9,0,28237,Rory McIlroy,4.97,283.19,-102.90,283.06
10,0,01945,Kenny Perry,4.91,255.30,-190.18,247.21
11,0,21209,Sergio Garcia,4.88,253.77,-290.52,122.94
12,0,24138,Ian Poulter,4.75,242.13,-151.37,226.68
13,0,27408,Martin Kaymer,4.64,241.34,-155.73,225.58
14,0,22046,Geoff Ogilvy,4.63,231.40,-210.03,228.29
15,0,20229,Stewart Cink,4.38,205.74,-175.55,192.59
16,0,24140,Sean O'Hair,4.36,218.22,-137.76,241.54
17,0,06522,Ernie Els,4.27,226.10,-221.08,189.91
18,0,27896,Ross Fisher,4.14,211.36,-128.22,188.34
19,0,20157,Retief Goosen,4.06,235.53,-135.32,239.10
20,0,25900,Lucas Glover,3.95,209.52,-78.96,234.68
