RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,29.40,1323.22,-564.00,948.22
2,0,06522,Ernie Els,11.65,617.33,-319.00,452.33
3,0,09011,David Duval,11.20,459.00,-401.00,255.00
4,0,01810,Phil Mickelson,11.07,531.38,-232.00,434.38
5,0,20396,Lee Westwood,9.46,529.63,-332.00,398.63
6,0,08635,Colin Montgomerie,8.34,450.45,-377.00,247.45
7,0,01706,Davis Love III,7.88,378.22,-295.00,237.22
8,0,02170,Hal Sutton,7.71,385.52,-217.00,266.52
9,0,06567,Vijay Singh,7.17,444.33,-334.00,293.33
10,0,01677,Tom Lehman,7.10,319.47,-152.00,239.47
11,0,12660,Jesper Parnevik,6.96,333.94,-187.00,254.94
12,0,19825,Darren Clarke,6.77,392.82,-209.00,305.82
13,0,01968,Nick Price,6.29,308.44,-253.00,194.44
14,0,20400,Michael Campbell,5.87,305.26,-50.00,262.26
15,0,10809,Jim Furyk,5.76,299.37,-249.00,192.37
16,0,21209,Sergio Garcia,5.67,277.67,-139.00,143.67
17,0,20229,Stewart Cink,5.30,291.61,-142.00,212.61
18,0,10860,Justin Leonard,5.22,297.41,-234.00,175.41
19,0,01553,John Huston,5.05,247.25,-202.00,165.25
20,0,10944,Thomas Bjørn,5.03,297.01,-125.00,233.01
