RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,36689,Brooks Koepka,12.62,555.31,-239.05,380.49
2,0,28237,Rory McIlroy,9.68,464.79,-178.53,386.65
3,0,30925,Dustin Johnson,8.81,405.19,-258.61,301.38
4,0,22405,Justin Rose,7.60,364.63,-268.79,172.16
5,0,33448,Justin Thomas,7.20,345.45,-266.45,233.92
6,0,46970,Jon Rahm,6.89,344.55,-210.48,232.47
7,0,35450,Patrick Cantlay,6.79,305.48,-107.97,232.43
8,0,08793,Tiger Woods,6.37,254.62,-112.41,153.05
9,0,48081,Xander Schauffele,6.10,317.20,-179.98,213.24
10,1,47959,Bryson DeChambeau,6.04,314.33,-190.66,145.69
11,-1,25198,Francesco Molinari,6.04,265.94,-179.18,145.31
12,0,29725,Tony Finau,5.62,292.32,-151.27,155.75
13,0,30911,Tommy Fleetwood,5.49,285.68,-174.44,176.01
14,3,25364,Paul Casey,5.49,269.07,-142.52,225.30
15,-1,24502,Adam Scott,5.49,219.58,-72.21,178.51
16,-1,29221,Webb Simpson,5.46,267.52,-129.98,174.43
17,-1,34360,Patrick Reed,5.10,265.09,-154.10,161.68
18,0,31323,Gary Woodland,5.08,264.16,-106.90,197.35
19,0,32102,Rickie Fowler,4.96,228.37,-181.90,159.51
20,0,23108,Matt Kuchar,4.87,253.40,-136.21,223.12
