RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.09,603.53,-558.08,501.37
2,0,06567,Vijay Singh,9.98,569.13,-308.12,550.87
3,0,06522,Ernie Els,8.54,452.70,-393.91,477.13
4,0,01706,Davis Love III,7.83,383.78,-250.32,412.39
5,0,10809,Jim Furyk,6.89,358.38,-239.22,392.70
6,0,10423,Mike Weir,6.58,302.59,-206.82,390.81
7,0,20157,Retief Goosen,6.05,357.09,-316.25,303.62
8,0,20766,Padraig Harrington,5.43,265.97,-228.05,217.92
9,0,02206,David Toms,5.29,280.33,-297.90,247.10
10,0,01945,Kenny Perry,5.17,274.05,-189.25,301.42
11,0,19825,Darren Clarke,4.43,248.07,-176.71,245.69
12,0,01968,Nick Price,4.22,168.64,-160.22,158.91
13,0,01810,Phil Mickelson,3.98,203.20,-306.56,131.59
14,1,20098,Stuart Appleby,3.91,230.95,-135.58,196.93
15,-1,12510,Chad Campbell,3.88,240.85,-83.23,269.37
16,0,10885,Robert Allenby,3.73,212.74,-175.25,184.59
17,0,21731,Freddie Jacobson,3.66,168.16,-73.58,157.30
18,1,24357,K.J. Choi,3.46,221.58,-120.99,193.32
19,1,21961,Charles Howell III,3.41,221.39,-174.60,184.95
20,1,10944,Thomas Bjørn,3.36,168.05,-120.16,147.80
