RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,46046,Scottie Scheffler,17.9949,791.7760,-248.2659,598.7740
2,1,48081,Xander Schauffele,11.1330,478.7192,-137.7283,389.8472
3,-1,28237,Rory McIlroy,9.0561,416.5827,-205.3094,250.8013
4,0,52955,Ludvig Åberg,6.1271,245.0841,-42.2297,182.1175
5,0,51766,Wyndham Clark,5.8660,299.1641,-105.4167,195.7046
6,0,50525,Collin Morikawa,5.8070,267.1236,-81.7106,185.3064
7,0,46717,Viktor Hovland,5.2011,239.2527,-144.9326,61.0096
8,0,35450,Patrick Cantlay,5.0953,203.8134,-126.4705,114.0542
9,0,47959,Bryson DeChambeau,4.8492,193.9699,-15.9650,179.0000
10,0,46970,Jon Rahm,4.7288,189.1527,-176.1015,19.0833
11,0,51634,Sahith Theegala,3.9809,207.0084,-79.5403,153.4176
12,8,34098,Russell Henley,3.8923,175.1557,-62.2614,116.1584
13,-1,30911,Tommy Fleetwood,3.8874,198.2582,-96.7434,108.1289
14,-1,27644,Brian Harman,3.8797,201.7424,-105.2703,92.0552
15,-1,32839,Hideki Matsuyama,3.8253,175.9619,-58.1962,148.4549
16,-1,39977,Max Homa,3.5818,175.5068,-114.6537,76.6537
17,-1,52215,Robert MacIntyre,3.5655,185.4055,-43.2270,147.0115
18,6,39971,Sungjae Im,3.4093,177.2829,-83.5411,122.3621
19,-1,29725,Tony Finau,3.3859,165.9101,-97.1961,112.1997
20,-3,55182,Tom Kim,3.3753,175.5140,-110.6791,87.6039
