RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,23983,Luke Donald,10.03,541.46,-302.60,533.49
2,0,20396,Lee Westwood,8.06,362.83,-361.00,298.87
3,0,28237,Rory McIlroy,7.77,388.59,-279.45,360.27
4,0,27408,Martin Kaymer,6.55,334.07,-309.08,287.35
5,0,24502,Adam Scott,5.50,258.31,-160.30,232.63
6,0,06527,Steve Stricker,5.33,218.48,-255.83,211.52
7,0,30925,Dustin Johnson,5.27,268.92,-208.27,251.10
8,0,28089,Jason Day,5.07,243.41,-129.11,244.98
9,0,26331,Charl Schwartzel,5.06,273.21,-196.68,288.47
10,0,29221,Webb Simpson,5.03,271.49,-72.42,297.62
11,0,23108,Matt Kuchar,4.71,254.39,-223.73,231.05
12,0,27095,Nick Watney,4.69,239.43,-179.23,252.97
13,0,25572,Graeme McDowell,4.55,245.68,-246.24,158.88
14,0,01810,Phil Mickelson,4.47,210.32,-280.55,202.69
15,0,24357,K.J. Choi,4.31,232.96,-145.44,238.88
16,0,24138,Ian Poulter,3.88,194.19,-226.21,147.60
17,0,21209,Sergio Garcia,3.87,185.80,-96.15,194.03
18,0,22405,Justin Rose,3.84,207.61,-158.83,185.50
19,0,24781,Hunter Mahan,3.76,203.00,-192.01,180.75
20,0,25364,Paul Casey,3.73,186.28,-214.22,135.17
