RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,46046,Scottie Scheffler,10.0288,441.2678,-453.8635,457.9578
2,0,28237,Rory McIlroy,8.6300,371.0908,-354.4658,327.8591
3,0,46970,Jon Rahm,7.6927,346.1708,-345.2466,403.9611
4,0,46717,Viktor Hovland,6.5954,323.1757,-277.7562,329.0745
5,0,35450,Patrick Cantlay,5.4057,216.2296,-267.0614,192.7726
6,0,48081,Xander Schauffele,5.3952,226.6004,-245.2731,205.7516
7,0,39977,Max Homa,4.6415,213.5068,-194.2371,220.5809
8,0,40098,Matt Fitzpatrick,4.5373,231.4043,-231.3872,199.3493
9,0,27644,Brian Harman,4.2149,214.9575,-134.0400,195.5421
10,0,51766,Wyndham Clark,4.0168,208.8761,-82.4519,242.2937
11,0,55182,Tom Kim,3.8939,198.5891,-149.6530,160.5491
12,0,34363,Tyrrell Hatton,3.8038,186.3852,-150.3690,202.4641
13,0,50525,Collin Morikawa,3.7165,163.5278,-235.4833,172.4701
14,0,30911,Tommy Fleetwood,3.6642,186.8726,-141.0569,171.3315
15,0,34046,Jordan Spieth,3.4132,153.5933,-198.2662,158.0439
16,0,33141,Keegan Bradley,3.4016,149.6726,-125.6944,148.2603
17,0,36689,Brooks Koepka,3.2238,128.9537,-107.5487,161.1073
18,0,49960,Sepp Straka,3.1600,164.3218,-127.1155,150.0178
19,0,28089,Jason Day,3.1494,125.9746,-70.6616,149.1578
20,0,29725,Tony Finau,3.0797,150.9065,-206.4911,107.1468
