RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,11.66,466.57,-12.14,0
2,0,21209,Sergio Garcia,7.99,415.59,-5.75,0
3,0,01810,Phil Mickelson,6.87,336.67,-7.70,0
4,0,20766,Padraig Harrington,6.83,348.43,-6.01,0
5,0,06567,Vijay Singh,6.63,358.07,-7.44,0
6,0,19970,Robert Karlsson,5.02,265.91,-3.70,0
7,0,27770,Camilo Villegas,4.82,241.06,-3.70,0
8,0,21528,Henrik Stenson,4.68,238.42,-4.64,0
9,0,06522,Ernie Els,4.66,251.72,-5.56,0
10,0,20396,Lee Westwood,4.66,251.62,-3.93,0
11,1,22046,Geoff Ogilvy,4.45,209.25,-3.88,0
12,-1,29718,Anthony Kim,4.38,223.17,-3.67,0
13,0,10809,Jim Furyk,4.29,206.05,-4.67,0
14,0,01945,Kenny Perry,3.83,195.37,-2.90,0
15,2,24502,Adam Scott,3.80,167.18,-3.97,0
16,0,20229,Stewart Cink,3.77,184.83,-3.87,0
17,-2,06527,Steve Stricker,3.77,169.74,-4.39,0
18,0,24357,K.J. Choi,3.72,193.62,-4.87,0
19,0,22405,Justin Rose,3.49,160.57,-4.09,0
20,0,22378,Trevor Immelman,3.40,176.82,-3.42,0
