RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,30925,Dustin Johnson,12.02,552.83,-313.05,417.83
2,0,34046,Jordan Spieth,10.54,516.54,-322.20,428.51
3,0,32839,Hideki Matsuyama,8.99,449.36,-225.03,284.99
4,0,33448,Justin Thomas,8.46,439.94,-153.44,386.47
5,0,46970,Jon Rahm,7.81,312.35,-57.67,322.57
6,0,28237,Rory McIlroy,6.98,300.23,-258.23,145.45
7,1,32102,Rickie Fowler,6.59,322.80,-209.45,278.90
8,1,21528,Henrik Stenson,6.49,298.67,-255.25,145.30
9,-2,28089,Jason Day,6.46,258.25,-306.89,128.56
10,0,21209,Sergio Garcia,6.12,269.26,-155.43,221.11
11,0,36689,Brooks Koepka,6.07,291.32,-139.48,214.18
12,1,22405,Justin Rose,5.59,246.08,-180.79,213.77
13,-1,23108,Matt Kuchar,5.58,290.38,-139.65,216.73
14,1,25364,Paul Casey,5.42,260.28,-144.92,170.20
15,-1,27349,Alex Noren,5.34,240.42,-110.55,136.87
16,0,26851,Marc Leishman,5.14,267.29,-96.61,246.32
17,0,30911,Tommy Fleetwood,4.43,230.11,-70.69,225.22
18,0,25198,Francesco Molinari,4.35,208.78,-95.05,149.25
19,0,26499,Rafa Cabrera Bello,4.24,220.55,-112.66,151.84
20,1,26329,Louis Oosthuizen,4.19,197.08,-130.16,151.14
