RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,34046,Jordan Spieth,12.55,652.47,-234.61,590.31
2,0,28089,Jason Day,12.53,501.28,-183.84,452.68
3,0,28237,Rory McIlroy,11.09,510.14,-346.85,315.89
4,0,25804,Bubba Watson,8.24,378.88,-222.54,252.26
5,0,32102,Rickie Fowler,7.86,408.56,-175.36,299.64
6,0,21528,Henrik Stenson,7.44,386.69,-300.28,263.47
7,0,22405,Justin Rose,7.09,368.63,-225.92,266.79
8,0,30925,Dustin Johnson,6.82,272.83,-153.10,266.97
9,0,10809,Jim Furyk,6.78,277.97,-197.62,184.18
10,0,24024,Zach Johnson,5.12,266.29,-165.11,232.39
11,0,21209,Sergio Garcia,4.96,228.26,-219.10,112.55
12,0,36689,Brooks Koepka,4.49,233.25,-101.12,179.93
13,0,26329,Louis Oosthuizen,4.42,211.93,-79.52,172.64
14,0,24502,Adam Scott,4.28,171.01,-225.91,73.11
15,0,32839,Hideki Matsuyama,4.26,221.70,-151.62,163.21
16,0,23108,Matt Kuchar,4.24,220.60,-199.93,155.82
17,0,25632,Jimmy Walker,4.05,210.48,-165.48,181.90
18,3,33204,Shane Lowry,3.97,198.31,-81.71,141.84
19,-1,27141,J.B. Holmes,3.89,194.62,-73.44,187.08
20,-1,34360,Patrick Reed,3.82,198.38,-143.24,165.57
