RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,28237,Rory McIlroy,11.70,596.60,-262.71,540.87
2,0,24502,Adam Scott,8.84,362.45,-241.99,211.01
3,0,21209,Sergio Garcia,7.66,367.60,-178.70,281.00
4,0,10809,Jim Furyk,7.52,345.92,-152.45,280.17
5,0,21528,Henrik Stenson,7.33,381.41,-250.17,156.06
6,0,22405,Justin Rose,7.12,355.78,-242.37,225.65
7,0,25804,Bubba Watson,6.98,327.83,-156.21,321.71
8,0,28089,Jason Day,6.72,275.70,-147.28,190.33
9,0,23108,Matt Kuchar,6.28,326.65,-217.24,224.33
10,0,32102,Rickie Fowler,5.78,300.38,-100.63,267.89
11,0,01810,Phil Mickelson,5.59,262.79,-220.34,137.21
12,0,27408,Martin Kaymer,5.06,262.88,-104.37,231.51
13,1,29420,Billy Horschel,4.99,259.33,-85.94,209.42
14,-1,34046,Jordan Spieth,4.98,258.77,-112.05,204.77
15,2,30925,Dustin Johnson,4.68,205.73,-162.07,137.25
16,-1,24024,Zach Johnson,4.66,242.12,-179.32,138.21
17,-1,08793,Tiger Woods,4.57,182.88,-303.17,6.57
18,0,25572,Graeme McDowell,4.46,213.96,-174.09,127.73
19,0,25632,Jimmy Walker,4.22,219.49,-107.07,197.19
20,0,32839,Hideki Matsuyama,4.07,199.45,-94.00,138.43
