RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,20396,Lee Westwood,9.31,437.56,-279.74,374.21
2,0,08793,Tiger Woods,8.26,330.36,-396.35,140.02
3,0,27408,Martin Kaymer,7.49,366.84,-212.50,346.33
4,0,01810,Phil Mickelson,7.01,301.43,-309.46,247.69
5,0,10809,Jim Furyk,6.44,296.44,-227.25,247.27
6,0,06527,Steve Stricker,6.39,274.71,-246.93,221.46
7,0,25572,Graeme McDowell,6.30,340.35,-132.41,331.48
8,0,25364,Paul Casey,6.14,276.18,-224.92,265.46
9,0,23983,Luke Donald,5.80,319.17,-136.47,325.67
10,0,24138,Ian Poulter,5.73,280.92,-200.33,245.30
11,0,28237,Rory McIlroy,5.69,318.66,-224.53,266.04
12,0,06522,Ernie Els,4.98,288.93,-212.60,282.83
13,0,23108,Matt Kuchar,4.90,254.82,-110.73,257.36
14,0,30925,Dustin Johnson,4.68,234.19,-127.72,239.95
15,0,25198,Francesco Molinari,4.50,247.35,-119.14,222.28
16,0,19970,Robert Karlsson,4.43,190.63,-144.98,203.86
17,0,20157,Retief Goosen,4.22,244.47,-193.53,210.70
18,0,23814,Edoardo Molinari,4.19,230.65,-92.15,206.02
19,0,24781,Hunter Mahan,4.19,222.06,-147.53,206.78
20,0,24024,Zach Johnson,3.76,199.22,-160.63,170.99
