RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,15.67,673.64,-878.98,568.11
2,0,01810,Phil Mickelson,9.16,430.58,-379.15,411.85
3,0,09011,David Duval,7.98,327.14,-257.71,308.89
4,0,06522,Ernie Els,6.99,356.43,-367.64,267.57
5,0,01706,Davis Love III,6.02,271.11,-254.19,275.25
6,0,21209,Sergio Garcia,5.86,293.22,-246.10,315.46
7,0,02206,David Toms,5.83,332.33,-222.84,320.60
8,0,06567,Vijay Singh,5.60,335.94,-327.19,352.35
9,0,19825,Darren Clarke,5.03,281.55,-260.40,232.31
10,0,20157,Retief Goosen,4.95,292.11,-189.14,307.03
11,0,20766,Padraig Harrington,4.93,241.51,-181.33,221.19
12,0,10423,Mike Weir,4.92,250.71,-207.43,221.94
13,0,01666,Bernhard Langer,4.52,239.33,-125.12,251.60
14,0,08635,Colin Montgomerie,4.39,219.51,-300.87,184.11
15,0,10809,Jim Furyk,4.28,209.95,-222.22,219.35
16,0,10821,Toshi Izawa,4.27,183.79,-121.31,175.15
17,0,02239,Scott Verplank,4.23,228.54,-131.72,228.55
18,0,01320,Bob Estes,4.08,191.57,-97.43,204.91
19,0,19972,José Coceres,4.06,166.63,-100.54,156.34
20,0,06251,Chris DiMarco,3.90,241.89,-126.17,232.94
