RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,30925,Dustin Johnson,10.36,455.76,-348.02,335.37
2,0,22405,Justin Rose,10.11,454.92,-198.54,300.75
3,0,36689,Brooks Koepka,9.80,421.25,-174.92,298.73
4,0,33448,Justin Thomas,9.46,463.61,-274.68,303.54
5,1,28237,Rory McIlroy,7.30,306.62,-198.26,279.34
6,-1,25198,Francesco Molinari,7.17,358.69,-129.04,295.49
7,0,47959,Bryson DeChambeau,6.91,359.54,-64.15,347.15
8,0,46970,Jon Rahm,6.81,340.42,-205.79,224.04
9,0,32102,Rickie Fowler,6.63,298.55,-193.22,165.60
10,0,34046,Jordan Spieth,6.36,305.05,-272.67,135.74
11,0,28089,Jason Day,6.16,246.45,-173.84,208.48
12,0,30911,Tommy Fleetwood,5.92,308.02,-160.02,232.32
13,0,08793,Tiger Woods,5.80,231.89,-14.98,237.58
14,0,25804,Bubba Watson,5.36,246.64,-84.94,260.26
15,0,34360,Patrick Reed,5.13,266.66,-158.73,226.39
16,0,29221,Webb Simpson,4.92,255.59,-91.70,224.01
17,0,29725,Tony Finau,4.88,254.01,-92.15,211.93
18,1,48081,Xander Schauffele,4.77,248.03,-96.41,165.31
19,-1,27349,Alex Noren,4.75,237.33,-163.59,193.87
20,1,25364,Paul Casey,4.69,220.48,-166.40,157.09
