RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,20.40,815.82,-724.96,689.60
2,0,01810,Phil Mickelson,9.04,397.55,-298.29,410.70
3,0,10809,Jim Furyk,6.86,343.04,-375.34,235.36
4,0,06527,Steve Stricker,6.65,265.90,-90.08,272.04
5,0,06522,Ernie Els,6.60,389.59,-249.19,351.06
6,1,24502,Adam Scott,6.05,296.33,-284.90,215.48
7,-1,22405,Justin Rose,6.02,319.08,-125.79,301.55
8,0,20766,Padraig Harrington,5.76,328.45,-233.63,252.80
9,0,24357,K.J. Choi,5.31,307.82,-170.74,297.82
10,0,06567,Vijay Singh,5.28,321.94,-332.83,326.01
11,0,23621,Rory Sabbatini,5.15,262.63,-151.57,284.28
12,0,21209,Sergio Garcia,4.96,252.77,-229.08,232.85
13,0,22046,Geoff Ogilvy,4.87,228.91,-235.00,194.72
14,0,20848,Ángel Cabrera,4.57,232.98,-138.71,216.59
15,0,24024,Zach Johnson,4.33,216.39,-146.61,233.63
16,0,21528,Henrik Stenson,4.23,228.65,-233.53,221.74
17,0,23983,Luke Donald,4.12,210.10,-228.31,168.93
18,0,22371,Aaron Baddeley,4.06,215.19,-103.35,231.13
19,0,22378,Trevor Immelman,3.86,212.38,-193.62,156.99
20,1,25364,Paul Casey,3.55,180.84,-179.39,150.45
