RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,46970,Jon Rahm,10.69,524.02,-285.72,340.59
2,0,30925,Dustin Johnson,8.82,379.38,-274.78,147.35
3,0,50525,Collin Morikawa,8.27,430.01,-164.95,315.33
4,0,35450,Patrick Cantlay,7.68,322.75,-168.96,242.87
5,0,48081,Xander Schauffele,7.49,359.64,-202.64,238.03
6,0,33448,Justin Thomas,7.20,367.44,-256.00,201.45
7,0,47959,Bryson DeChambeau,6.98,342.18,-195.32,203.73
8,0,26329,Louis Oosthuizen,6.17,283.62,-120.59,218.99
9,1,36689,Brooks Koepka,5.85,239.71,-189.74,205.49
10,-1,29725,Tony Finau,5.84,303.86,-155.17,248.29
11,0,34099,Harris English,5.66,294.23,-96.83,222.04
12,0,45526,Abraham Ancer,5.56,289.36,-119.57,221.20
13,1,46717,Viktor Hovland,5.46,284.11,-111.38,201.04
14,1,34046,Jordan Spieth,5.46,262.00,-74.98,259.66
15,-2,28237,Rory McIlroy,5.46,272.85,-234.50,185.88
16,0,40026,Daniel Berger,5.24,235.88,-113.62,147.15
17,1,32839,Hideki Matsuyama,5.03,261.35,-141.06,189.49
18,10,29420,Billy Horschel,5.01,260.71,-100.66,221.57
19,-2,34363,Tyrrell Hatton,4.99,229.39,-162.32,102.98
20,-1,34360,Patrick Reed,4.96,257.79,-196.78,153.11
