RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,08793,Tiger Woods,20.83,874.89,-626.58,746.28
2,0,10809,Jim Furyk,9.06,489.37,-226.09,477.66
3,0,01810,Phil Mickelson,7.38,302.58,-355.50,291.82
4,0,24502,Adam Scott,7.16,365.25,-234.23,365.29
5,3,06522,Ernie Els,6.21,298.26,-351.69,272.52
6,-1,20157,Retief Goosen,5.93,355.57,-342.45,268.67
7,-1,06567,Vijay Singh,5.76,351.09,-543.63,278.79
8,-1,20766,Padraig Harrington,5.67,311.77,-190.32,294.03
9,0,23983,Luke Donald,5.40,275.51,-219.07,260.65
10,0,21209,Sergio Garcia,5.26,257.67,-262.37,187.63
11,0,22046,Geoff Ogilvy,5.24,261.93,-168.36,302.56
12,0,21528,Henrik Stenson,4.69,243.93,-148.65,245.54
13,0,22378,Trevor Immelman,4.63,250.04,-122.78,263.67
14,0,25364,Paul Casey,3.86,204.59,-113.53,202.89
15,0,20608,David Howell,3.84,211.29,-195.17,172.93
16,0,01706,Davis Love III,3.77,177.00,-159.59,150.07
17,0,08635,Colin Montgomerie,3.70,214.49,-187.42,134.47
18,0,06373,José María Olazábal,3.68,191.57,-151.98,164.63
19,2,20400,Michael Campbell,3.54,183.99,-139.70,101.72
20,0,06251,Chris DiMarco,3.50,185.60,-207.14,158.93
