RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
482,-1,51070,Vincent Norrman,1820821
483,-1,02195,Leonard Thompson,1819028
484,1,48867,Matti Schmid,1802171
485,-2,01715,Mark Lye,1800654
486,-2,33408,Tyson Alexander,1794423
487,-1,01150,George Burns,1781090
488,1,34587,Chan Kim,1767876
489,-2,32070,Rafael Campos,1754765
490,-2,01408,Kelly Gibson,1751957
491,-1,01495,Morris Hatalsky,1707280
492,-1,40042,Tyler McCumber,1702944
493,-1,06214,Guy Boros,1672839
494,-1,12388,Michael Clark II,1670485
495,-1,07013,Wes Short Jr.,1652656
496,-1,02067,Ted Schulz,1645215
497,-1,01851,Bob Murphy,1642330
498,-1,01925,Jerry Pate,1634246
499,-1,01641,Gary Koch,1629482
500,-1,59095,Chris Gotterup,1619720
501,-1,01522,Lon Hinkle,1607691
502,-1,01639,Kenny Knox,1607180
503,-1,27797,Derek Lamely,1580472
504,-1,01998,Jack Renner,1579090
505,-1,01156,Curt Byrum,1576535
506,-1,51287,Ryo Hisatsune,1561481
507,-1,01205,Jim Colbert,1553136
508,-1,01303,Bob Eastwood,1546106
509,-1,01334,Keith Fergus,1546009
510,-1,01390,Buddy Gardner,1491943
511,-1,01197,Bobby Clampett,1423000
512,-1,01648,Billy Kratzert,1396819
513,-1,02016,Bill Rogers,1384710
514,-1,52666,Sami Valimaki,1370922
515,-1,01878,Andy North,1365530
516,-1,01288,Ed Dougherty,1323769
517,-1,27139,David Skinns,1313436
518,-1,07235,John Morse,1311273
519,-1,02090,Tom Sieckmann,1310647
520,-1,02152,Dave Stockton,1303281
521,-1,02255,Denis Watson,1288621
522,-1,57900,Chandler Phillips,1267940
523,-1,01401,Al Geiberger,1265188
524,0,37278,Nicholas Lindheim,1254881
525,1,39067,MJ Daffue,1243179
526,-1,37338,Zecheng Dou,1234467
527,0,01305,Danny Edwards,1212304
528,0,59836,Pierceson Coody,1199258
529,6,51977,Max Greyserman,1189128
530,-1,01215,Charles Coody,1187762
531,-1,01310,Dave Eichelberger,1186505
532,-1,02094,Tony Sills,1173361
533,-1,34374,Erik Barnes,1154650
534,9,59143,Mac Meissner,1149213
535,-2,38991,Alejandro Tosti,1145613
536,-2,01755,Dick Mast,1123038
